Freq,Z
23334.580622810045,68.68944650656124
23768.402866248784,67.45354882066346
24210.2904673618,66.24054021993898
24660.393372343413,65.05000909287634
25118.864315095823,63.881551455269516
25585.858869056425,62.73477081313339
26061.53549998898,61.609278028160524
26546.055619755363,60.50469118567581
27039.583641088462,59.42063546503906
27542.28703338163,58.356743012458686
28054.33637951716,57.312652816165546
28575.905433749438,56.288010583912346
29107.171180666082,55.282468622749384
29648.31389524339,54.295685721043384
30199.51720402019,53.32732703269193
30760.96814740705,52.37706396350166
31332.85724315589,51.44457405968419
31915.378551007583,50.52954089843928
32508.729738543472,49.63165398058109
33113.112148259075,48.750608625177755
33728.73086588692,47.886105866162104
34355.79478998743,47.03785235088473
34994.51670283577,46.2055602405688
35645.11334262439,45.38894711263896
36307.80547701017,44.58773586488499
